Technical Phrase, Sentence Frequency
metallic conduit, 1
dump type, 1
notification type, 4
console switch, 55
network interface list, 1
ethernet pci adapter, 4
select start subsystem, 1
vtscsi1 u9111, 1
attribute description servername, 8
paging vios partition need, 8
final installation site, 14
scaling value, 15
dpo report, 3
current amount, 5
research triangle park, 2
use problem analysis, 36
liquid crystal display lcd, 10
gb removable disk drive, 3
enough room, 22
equivalent agreement, 2
dedicated path, 11
cooling infrastructure, 11
objectname parameter, 7
remote asynchronous node model, 4
same hba, 1
system trace hook, 1
console event, 53
only while, 4
client scheduler, 3
virtual target device, 238
sea ent3, 5
processing priority, 24
binary recording, 2
potential score, 16
different branch circuit, 1
might range, 1
block range, 7
customer name, 1
point file system, 4
basic proxy authentication rfc, 13
available capacity, 1
mkvg command, 13
user volume group, 2
low average, 1
syntax license name description, 8
pdf format, 4
same physical system, 1
managing network, 2
mkvt command purpose, 3
argument query, 8
level slot, 170
initialization sequence, 4
other marginal voltage, 1
move logical volume, 3
ip remote server ip, 12
unacceptable environment, 2
potential recovery, 3
viosa1 logical partition, 11
amber off scd, 3
overall network throughput, 8
failoverthis example, 9
integrated login, 1
optional host name, 6
field description minother, 4
available huge page memory, 1
dynamic lpar operation failure, 1
return code description, 3
version use, 21
open terminal window, 1
incremental value, 1
corrupt block, 2
virtual ethernet device, 12
appropriate operating system, 7
rsubtype fc, 238
device type, 6
power indicator light feature, 11
other material, 4
activatevg vg03 related information, 2
resource group, 1
journal log, 1
standard ethernet, 6
numclient percentage percentage, 6
hdisk8 utmp0, 1
file name suffix, 8
redundant distribution panel, 17
virtual log 00000000000000005b3f6b7cfcec4c67, 18
root system jun, 2
available expansion, 52
attribute list, 2
client adapter server, 3
common way, 3
management logical partitionthis option, 2
max maximum size, 24
hmc parent topic, 1
rdx usb, 1
known task, 1
list attribute, 4
4k page unit, 2
successful completion, 14
sy system, 1
planning documentation, 15
configure storage, 16
exchange attribute information, 3
logical partition planning, 4
processor subsystem, 2
client name, 61
hmc machine code level, 27
dvd drive, 3
output screen, 1
xml format, 1
maximum virtual disk size, 8
single virtual adapter, 3
only bridge protocol, 5
vlan device driver, 2
power line, 7
dump file, 18
tape device block size, 2
specified page size page, 7
feature description installation, 5
tb 95p4450, 8
primary console, 7
special safety, 6
pci bridge set, 13
scsi tape drive, 2
need memory, 4
physical partition layout, 1
level back, 8
work pane table view, 1
user account parent topic, 1
system environment, 3
current location, 22
detail status, 8
same disk, 6
grep process, 2
web interface cli, 1
possible nature, 22
specified machine, 3
maxmem maximummemory, 4
air temperature, 12
high performance computing hpc, 1
following website, 5
make root, 3
next whole number, 8
same location, 12
local ip, 7
display additional information, 5
configurable huge page memory, 1
virtual scsi application environment, 1
map tape device, 2
dd command, 42
maximum processing unit value, 29
switch mode, 4
internal drive calculation, 20
running dump operation, 15
display memory compression, 12
bpdu statistic description, 5
offload progress, 3
certain server, 3
default maximum number, 19
adequate memory, 7
edit sort, 45
system plan conversion, 38
system plan name, 6
ldap server port number, 2
condensation wet bulb, 3
other paging partition change, 4
cleaning indication, 6
rmvt command purpose, 3
xml schema definition xsd, 3
sample default output, 9
pool size pool size, 8
affinity delta, 19
physical network link, 1
following device, 8
network deployment manager, 4
ssh connection, 15
ibm installation planning, 12
face velocity, 1
trunk adapter setting, 1
advanced switching technology, 1
memory expansion, 11
conditioned water, 19
trap information, 3
protocol port port gigabit, 3
design system, 8
move memory, 22
filtered air, 6
use memory affinity, 1
show signal, 9
flag name description, 779
next row exit status, 1
turn off everything, 18
control relative humidity, 1
output hash symbol, 6
time server, 1
operating system support, 33
tape index description, 6
specified link aggregation, 3
configurable table, 3
message path, 5
predefined task, 2
current report, 1
specified section, 12
processor entitlementyou, 11
volume group vg03 type, 1
local hmc, 82
shared memory environment, 22
entire heat load, 4
ldap protocol version, 5
proper spacing, 5
2hd diskette, 3
equipment operating, 1
fc eu23 information, 4
specific processor resource, 5
spt format, 6
start recording cluster, 5
system administrator message, 2
only active operation, 2
log file size, 4
encrypted tgt, 3
only mandatory parameter, 6
logical volume storage pool, 77
unused processing, 19
foam sheeting, 1
vxa cartridge, 26
level pool, 512
incorrect firmware image, 4
system lan, 10
failed disk, 1
subnet mask, 48
snmp daemon, 2
new option ping test, 3
virtual terminal window, 9
thread queue overflow, 21
changed while, 3
manual intervention, 5
external opticonnect hardware, 4
rechargeable battery maintenance, 5
mechanical engineer, 1
insert cartridge, 10
cycle power, 50
complete set, 44
redundancy configuration management controller, 24
small portion, 1
same format, 6
entire processing capacity, 5
server administration control, 2
partition communication state, 3
3rd edition csa c22, 1
high availability information, 4
backing physical device, 8
account expiration date, 3
use dedicated memory, 19
local modem dialing, 4
hmc file system, 4
long report summary, 2
original file name, 1
memory tab, 7
02c82115 za, 1
ticket tgt, 14
npiv technology, 9
browser application, 8
diagmenu command, 3
average number, 60
large mtu, 1
support memory, 1
conf configuration file, 1
capacity level value, 11
pdump command, 5
cfgsvc tpc, 6
current configuration capability, 34
cache support, 15
relocation bbr policy, 1
name logical volume, 4
main display, 5
ground pin, 1
electromagnetic compatibility, 3
root user, 48
address translation, 6
migration state, 1
nnn format, 2
store information, 8
filtered view, 13
acoustical treatment, 12
tape device, 107
same subnet, 32
level resourcelevel, 3
bulk eraser device, 2
set operation, 1
related software, 1
change scsi, 14
memory configuration, 81
syntax stoptrace description, 3
invalid flag, 3
full path name, 4
product information, 3
optional attribute, 3
permanent side, 10
ftp daemon, 6
secure ftp, 2
ssh username vioshostname command, 1
cfgnamesrv command, 25
ssd adapter, 26
sea qos, 16
lp3 related information, 2
large page freelist, 1
smartclean data, 4
kerberos realm name, 2
flash eprom, 3
default adapter, 16
rsubtype pgdev, 334
boot data, 1
encrypted file, 1
backup adapter, 40
load source, 15
shared processing unit, 7
socket buffer size, 4
error code, 266
other use, 2
high traffic, 10
perforated panel floor, 1
physical device disk, 3
super administrator, 61
dvd optical device, 10
device flag, 5
static display, 1
required value, 5
partition mobility, 3
platform module vtpm capability, 6
contact service, 48
chsyscfg command, 16
cluster environment, 1
only user id, 10
ipv4 protocol, 1
der emc, 12
wlm section, 14
other bpdu protocol, 6
branch office, 1
rpm sas hdd, 88
ibm bernimmt keine, 9
unshielded ethernet, 7
usb diskette drive, 3
gb memory allocation, 7
array information, 1
installation source, 1
integrated kerberos authentication, 1
associated rootvg device, 12
incompatible cartridge, 10
own expense, 1
non raw device, 7
change storage, 2
tape drive environment, 10
further reduction, 5
action description, 8
time site, 4
normal mode boot, 6
list system, 528
ground potential, 10
transformer ground, 1
network adapter error handling, 5
active partition migration, 8
separate air conditioning system, 4
hard link, 3
vertical bar, 6
logical network, 23
external environment symptom symptom, 21
proper function, 21
adapter physical ethernet port, 10
current maximum pool size, 1
need communication, 5
parameter description networkservice use, 2
file parameter, 88
service intervention, 12
ghz processor, 5
instance qualifier, 3
1410ff01 hardware address, 1
mb diskette drive fc, 7
lightning protectioninstalling lightning protection, 5
queue length, 30
initiate dump, 13
hardware error condition, 6
data area, 3
adapter firmware, 95
plan view, 2
memory region, 1
backup cfg, 1
number seeknumber, 4
server adapters, 2
platform hardware, 3
sysstat command, 3
multiple pci, 7
unmapping logical unit, 7
tape movement, 12
com gateway information, 2
user key string, 4
speed duplex server client, 3
partition parent topic, 1
delivery truck, 1
hierarchical domain, 2
hidden memory amount, 2
page space, 5
rsubtype scsi, 220
firmware version, 1
last interface, 2
same direction, 1
physical location code physicallocationcode, 1
use link aggregation, 5
failover protocol, 15
adapter device driver, 96
much error data, 12
particular state, 3
vtd backing status, 1
shared pool, 25
wkldagent command purpose, 1
independent logical server, 36
ssp mirroring, 5
share hardware, 16
firefox browser, 7
endmonth month, 33
tape drive sas, 14
data storage, 4
ghz processor module, 23
key return, 1466
contact service center, 2
stoptrace command purpose, 3
ibm bnt rackswitch, 1
lock button, 3
common ground potential, 1
pgspin number, 7
drive microcode, 10
internet proxy, 2
continuous air conditioning, 2
syntax cpvdi, 7
structural concrete floor, 3
rmrep command, 7
base distinguished name, 3
truck bed, 8
promiscuous mode, 15
vertical column, 2
address use, 10
overwrite option, 1
air velocity, 4
operating system might, 11
black data rate, 1
cluster configuration information, 5
particular adapter adaptera, 2
range argument, 15
additional memory, 6
system deployment, 1
fmr tape display, 20
virtual dvd, 4
file system size, 3
device window, 2
support different processor, 1
ent0 adapter, 9
stop dpo operation, 4
domain name server, 21
mb ethernet gb ethernet, 11
rsubtype phys, 123
network adapter parent topic, 1
paging space display size, 2
liquid cooling capability, 9
licensed machine code, 1
virtual ethernet mac, 4
complete hmc, 1
press enterupon successful completion, 8
cluster communication mode, 3
hmc connector j02, 1
hmc connector j03, 1
first choice, 4
eject push button, 44
correct level, 3
current hmc configuration information, 11
ivm migrlpar command purpose, 7
destination file, 17
help screen, 1
system text text, 10
exit system management, 48
ssh username vioshostname tee, 2
lsdev command, 22
hose management, 9
clean disc, 2
other paging partition, 4
additional physical memory, 13
snmp configuration information type, 4
problem isolation, 1
ssh secure shell, 3
different device, 5
extendlv command, 18
free form text comment, 6
optional configuration, 12
portmap root, 1
host service key file, 14
default pool, 4
mode setting, 1
volume group name, 23
internet protocol ip, 2
store cluster configuration information, 3
control option, 1
separate circuit, 6
sea shared ethernet adapter, 1
possible uncapped weight, 1
last reboot, 6
